ID,FDP_ID,Election,Year,County,Agency,Measure,ElectionType,AgencyType,BallotQ_Coll,Impartial_Coll,Fiscal_Coll,Resolution_Coll,Ordinance_Coll,For_Coll,Against_Coll,RebutFor_Coll,RebutAgainst_Coll,ProjectBack_Coll,NotTaxFile,CantFindFile,ChangedOGFile,ChangedFileInfo,ChangeNotes,Notes,FileNames_Actual,Policy_Text,Clean_Policy_Text,Imp_Text,Clean_Imp_Text,Text_NOTES,Policy_Coll,FileName_Temp
Heat3687,1866,Jun-93?,,Solano,Fairfield-Suisun Unified School District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3688,,11/?/2001,,Sonoma,Palm Drive Healthcare District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3689,,11/?/1997,,Sonoma,Rancho Adobe Fire Protection District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3690,,11/?/1993,,Sonoma,Sebastapol Unified School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat3691,,11/?/1988,,Sonoma,Shoreline Unified School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat1,174, 11/4/1986,1986,Alameda,Alameda County,B,General,County,1,1,5,,1,1,1,1,1,1,,,1,,Name: 1986-Alameda-Alameda-B-All to 1986-Alameda-B-All,,1986-Alameda-B-All,,,,,,1,1986-Alameda-B
Heat2,24, 11/4/1986,1986,Alameda,Berkeley Unified School District,H,General,School District,1,1,,,,1,1,1,1,,,,,,,,1986-Alameda-BerkeleyUSD-H-All,1,1,1,1,,1,1986-Alameda-BerkeleyUSD-H
Heat3,2163, 11/4/1986,1986,Calaveras,Calaveras County,A,General,County,1,1,,,,5,5,5,5,,,,,,,BallotQ in Impartial,1986-Calaveras-A-SampleBallot,,,,,,3,1986-Calaveras-A
Heat4,2176, 11/4/1986,1986,Calaveras,Valecito Union School District,B,General,School District,1,1,,,,1,5,5,5,,,,,,,BallotQ in Impartial; Split file,1986-Calaveras-VallecitoUnionSD-B-SampleBallot,,,1,1,,,1986-Calaveras-VallecitoUnionSD-B
Heat5,2254, 11/4/1986,1986,Contra Costa,Contra Costa County,C,General,School District,1,3,,,,,,,,,,,,,,,1986-ContraCosta-ContracostaTransportationIPO-C-BallotQ,,,,,,3,1986-ContraCosta-ContraCostaTransportationIPO-C
Heat6,2311, 11/4/1986,1986,El Dorado,El Dorado County Community Services District (Cameron Estates),O,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat7,2312, 11/4/1986,1986,El Dorado,Garden Valley Fire Protection District,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat8,2313, 11/4/1986,1986,El Dorado,Placerville Fire Protection District,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat9,373, 11/4/1986,1986,Fresno,Fresno County,C,General,County,1,1,,,,5,1,5,5,,,,,,,Different Res Collected; Ballot Q on page 82,,,,,,,1,
Heat10,2329, 11/4/1986,1986,Glenn,Willows Union School District,B,,,,,,,,,,,,,,1,,,,Checked OneDrive for File but not there,,,,,,,,
Heat11,429, 11/4/1986,1986,Imperial,Niland Fire Protection Dist,B,General,Special District,1,1,,,1,5,5,5,5,,,,,,,,1986-Imperial-NilandFPD-B-All,,,,,,,
Heat12,2364, 11/4/1986,1986,Inyo,Mt. Whitney Cemetery District,B,General,Special District,1,1,,,,,,,,,,,1,,"""All"" to ""SampleBallot""",No Args included,1986-Inyo-WhitneyCemeteryDist-B-SampleBallot,,,,,,,
Heat13,2365, 11/4/1986,1986,Inyo,Southern Inyo Hospital District,A,General,Special District,1,1,,,,,,,,,,,,,,,,,,,,,3,
Heat14,478, 11/4/1986,1986,Kern,Buttonwillow Recreation and Park District,D,General,Special District,1,3,,,,1,5,5,5,,,,,,,,,,,,,,6,
Heat15,496, 11/4/1986,1986,Lake,Lakeport Fire Protection District,B,General,Special District,1,3,,,,,,,,,,,,,,Policy text in Ordinance,,,,,,,1,
Heat16,721, 11/4/1986,1986,Los Angeles,City of Alhambra,A,General,City,1,3,,,,1,1,,,,,,,,,Policy text in Ordinance,,,,,,,1,
Heat17,722, 11/4/1986,1986,Los Angeles,City of Hermosa Beach,P,General,City,1,1,,,,1,5,5,5,,,,,,,Policy in Ordinance,,,,,,,1,
Heat18,2576, 11/4/1986,1986,Marin,Marin County Flood Control Zone No. 10,M,General,Special District,1,3,,,,,,,,,,,,,,,,,,,,,3,
Heat19,2577, 11/4/1986,1986,Marin,Marin County Flood Control Zone No. 7,N,General,Special District,1,3,,,,,,,,,,,,,,,,,,,,,3,
Heat20,2620, 11/4/1986,1986,Mendocino,North Sonoma/South Mendocino Counties Coast Life Support District,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat21,2642, 11/4/1986,1986,Modoc,Davis Creek Fire Protection District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat22,954, 11/4/1986,1986,Monterey,City of Pacific Grove CFD No.1,C,General,Special District,1,1,,,,1,5,5,5,,,,,,,"BallotQ in ""Proposed Bonded Indebtdness...""; Unclear if Policy text is in ""Bond Issue Statement""",,,,,,,,
Heat23,2692, 11/4/1986,1986,Napa,American Canyon Fire Protection District,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat24,2705, 11/4/1986,1986,Napa,Napa County,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat25,2706, 11/4/1986,1986,Napa,Napa County Flood Control and Conservation District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat26,985, 11/4/1986,1986,Nevada,City of Nevada City,G,General,City,1,1,,,,,,,,,,,,,Ordinance but no Policy Text,,,,,,,,3,
Heat27,986, 11/4/1986,1986,Nevada,North San Juan Fire Protection District,J,General,Special District,1,1,,,,1,5,5,5,,,,,,,Ordinance but no Policy Text,,,,,,,,
Heat28,987, 11/4/1986,1986,Nevada,Rough and Ready Fire Protection District,K,General,Special District,1,1,,,,1,5,5,5,,,,,,,Policy Text in Ordinance,,,,,,,1,
Heat29,978,  6/3/1986,1986,Nevada,Tahoe-Truckee Unified School District,E,Primary,School District,1,1,,,,1,1,1,1,,,,,,,,1986-Nevada-TahoeTruckeeUSD-E-All,1,1,1,1,,1,1986-Nevada-TahoeTruckeeUSD-E
Heat30,1094, 11/4/1986,1986,Placer,Eureka School District,E,General,School District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat31,1088,  6/3/1986,1986,Placer,Tahoe-Truckee Unified School District,E,Primary,School District,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat32,2755, 11/4/1986,1986,Plumas,Plumas County Community Services District (Long Valley),A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat33,1179, 11/4/1986,1986,Riverside,Riverside County Flood Control and Water,F,General,Special District,1,3,1,,,1,,,,,,,,,,Policy text in Resolution; BallotQ in Res (page 5); Fiscal Analysis but no Impartial,,,,,,,1,
Heat34,1255, 11/4/1986,1986,San Bernardino,City of Montclair,Q,General,City,3,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat35,2839, 11/4/1986,1986,San Diego,City of Santee,U,General,City,1,3,,,,,,,,,,,,,,BallotQ in Resolution,,,,,,,3,
Heat37,2848, 11/4/1986,1986,San Diego,Ramona Municipal Water District (ADVISORY),Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat36,2847, 11/4/1986,1986,San Diego,Ramona Municipal Water District (ADVISORY),X,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat38,1381, 11/4/1986,1986,San Diego,San Diego County,A,General,County,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat39,2851, 11/4/1986,1986,San Diego,San Diego County Community Services District (Jacumba),W,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat40,2857, 11/4/1986,1986,San Diego,San Diego County Community Services District (Valley Center),Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat41,1443, 11/4/1986,1986,San Joaquin,Eastside Rural County Fire Protection District,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat42,1452, 11/4/1986,1986,San Joaquin,Waterloo-Morada Rural Fire Protection District,R,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat43,1610, 11/4/1986,1986,San Mateo,San Mateo County Service Area No. 1,C,General,Special District,1,3,,,,5,5,5,5,,,,,,,Policy Text in Resolution,,,,,,,1,
Heat44,2936,  6/3/1986,1986,Santa Clara,Cupertino Union School District,A,Primary,School District,,1,,,,1,1,1,1,,,,1,,"""USD"" to ""UnionSD""",No BallotQ included,1986-SantaClara-CupertinoUnionSD-A-SampleBallot,,,1,1,,,1986-SantaClara-CupertinoUnionSD-A
Heat45,2972, 11/4/1986,1986,Santa Clara,Santa Clara Valley Water District - Central Flood Control District,G,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat46,2973, 11/4/1986,1986,Santa Clara,Santa Clara Valley Water District - East Flood Control District,H,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat48,2975, 11/4/1986,1986,Santa Clara,Santa Clara Valley WaterDistrict - Northwest District,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat47,2974, 11/4/1986,1986,Santa Clara,Santa Clara Valley Water District - South Flood Control District,I,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat49,1812, 11/4/1986,1986,Shasta,Shasta County Fire Protection Services Area No 1,B,General,Special District,3,1,,,,1,1,5,1,,,,,,,,,,,,,,1,
Heat50,1874, 11/4/1986,1986,Sonoma,Bennett Valley Fire Protection District,G,General,Special District,1,1,,,,5,5,5,5,,,,,,,,,,,,,,1,
Heat51,2001, 11/4/1986,1986,Sonoma,Coast Life Support District (see also Mendocino Coast Life Support Dist),F,General,Special District,1,1,,,,1,,,,,,,,,,Policy text in Resolution; BallotQ in Res (page 2),,,,,,,1,
Heat52,1910, 11/4/1986,1986,Sonoma,Forestville Fire Protection District,I,General,Special District,1,1,,,,1,5,5,5,,,,,,,BallotQ at the end of Full Text of Ordinance,,,,,,,1,
Heat53,3007,  4/8/1986,1986,Sonoma,Petaluma Joint Union High School District,A,Special,School District,1,1,,,,5,5,5,,,,,,,,,,,,,,,3,
Heat54,3016, 11/4/1986,1986,Stanislaus,Mountain View Fire Protection District,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat55,3046, 11/4/1986,1986,Sutter,Sutter County Levee District No. 1,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat56,3061, 11/4/1986,1986,Trinity,Weaverville/Douglas City Parks and Recreation District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat57,2029,  6/3/1986,1986,Tulare,Dinuba Elementary School District,A,Primary,School District,1,1,,,,5,5,5,5,,,,,,,,,,,,,,1,
Heat58,2030,  6/3/1986,1986,Tulare,Earlimart School District,B,Primary,School District,1,1,,,,5,5,5,5,,,,,,,,,,,,,,1,
Heat59,2045, 11/4/1986,1986,Tulare,Visalia Memorial District,E,General,Special District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat60,2043,  6/3/1986,1986,Tulare,Visalia Unified School District,C,Primary,School District,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat61,2050, 11/4/1986,1986,Tuolumne,City of Sonora,G,General,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat62,3080, 11/4/1986,1986,Tuolumne,Mi-Wuk Village Fire Protection District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat63,3081, 11/4/1986,1986,Tuolumne,Tuolumne County,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat64,3082, 11/4/1986,1986,Tuolumne,Tuolumne County Community Services District (Groveland),A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat65,3083, 11/4/1986,1986,Tuolumne,Tuolumne Fire Protection District,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat66,2116, 11/4/1986,1986,Yuba,City of Marysville,D,General,City,1,1,,,,1,,,,,,,,,,BallotQ in Res,,,,,,,3,
Heat67,20, 4/21/1987,1987,Alameda,Albany Unified School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat68,251,  6/2/1987,1987,Contra Costa,City of Pittsburg,H,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat69,296,  6/2/1987,1987,Contra Costa,Moraga School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat70,297,  3/3/1987,1987,Contra Costa,Orinda Union School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat71,300,  6/2/1987,1987,Contra Costa,San Ramon Valley Unified School District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat72,2422,  3/3/1987,1987,Los Angeles,Beverly Hills Unified School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat73,2464,  3/3/1987,1987,Los Angeles,Palos Verdes Peninsula Unified School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat74,763,  3/3/1987,1987,Marin,Kentfield School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat75,2951,  3/3/1987,1987,Santa Clara,Mount Pleasant Elementary School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat76,3000, 11/3/1987,1987,Solano,Dixon Unified School District Library District,L,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat77,1917, 11/3/1987,1987,Sonoma,Geyserville Unified School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat78,, 11/2/1987,1987,Yolo,Davis Joint Unified School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat79,1, 11/8/1988,1988,Alameda,Alameda County,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat80,50, 11/8/1988,1988,Alameda,City of Berkeley,H,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat81,76, 11/8/1988,1988,Alameda,City of Fremont,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat82,119, 11/8/1988,1988,Alameda,City of Piedmont,W,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat83,147, 11/8/1988,1988,Alameda,East Bay Municipal Utility District,Z,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat84,2141, 11/8/1988,1988,Amador,Amador County (advisory),C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat85,2148, 11/8/1988,1988,Butte,Butte County,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat86,2158, 11/8/1988,1988,Butte,City of Chico,K,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat87,197, 4/12/1988,1988,Butte,Oroville Elementary School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat88,205, 11/8/1988,1988,Calaveras,City of Angels,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat90,2178, 11/8/1988,1988,Colusa,Colusa County,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat89,2177, 11/8/1988,1988,Colusa,Colusa County,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat91,2179, 11/8/1988,1988,Contra Costa,City of Antioch,T,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat92,2213, 11/8/1988,1988,Contra Costa,Contra Costa County (Advisory),H,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat93,2220, 11/8/1988,1988,Contra Costa,Contra Costa County Service Area No. P-1,J,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat94,2227, 11/8/1988,1988,Contra Costa,Contra Costa County Transportation Authority,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat95,2241, 11/8/1988,1988,Contra Costa,Mount Diablo Unified School District CFD No. 1,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat96,287, 7/12/1988,1988,Contra Costa,Richmond Unified School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat97,2257, 11/8/1988,1988,Del Norte,Crescent Fire Protection District,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat98,309, 11/8/1988,1988,Del Norte,Del Norte County Unified School District CFD No. 1,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat99,315, 11/8/1988,1988,El Dorado,City of South Lake Tahoe,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat100,340, 11/8/1988,1988,Fresno,City of Fresno,H,General,City,1,1,,,,1,1,1,1,,,,,,,,1988-Fresno-Fresno-H-All,2,2,,,,2,1988-Fresno-Fresno-H
Heat101,346, 11/8/1988,1988,Fresno,City of Kingsburg,K,General,City,1,2,,1,,,,,,,,,1,,"Changed ending from ""SampleBallot"" to ""BallotQ&Impartial""","Impartial is one sentence: it might be the full impartial that was written, not sure; ""full text"" is just the ballot question",1988-Fresno-Kingsburg-K-BallotQ&Impartial; 1988-Fresno-Kingsburg-K-Res,,,,,,,
Heat102,380, 11/8/1988,1988,Glenn,Glenn County,A,General,County,1,1,,,1,1,5,5,5,,,,1,,"Deleted second ""Glenn"" for county measure",,1988-Glenn-A-All,,,,,,,
Heat103,2339, 11/8/1988,1988,Humboldt,Humboldt County,A,General,County,,1,,,,1,5,5,5,,,,1,,"Deleted second ""Humboldt"" for county measure",,1988-Humboldt-A-SampleBallot,,,,,,,
Heat104,2346, 11/8/1988,1988,Imperial,Calexico Unified School District CFD No. 88-1,C,,,,,,,,,,,,,,1,,,,Checked OneDrive; can't find,,,,,,,,
Heat105,2353, 11/8/1988,1988,Imperial,City of Calipatria,D,General,City,,1,,,,,,,,,,,1,,"added ""Impartial"" to end of file name",Looked for more files on OneDrive but can't find any,1988-Imperial-Calipatria-D,,,,,,,
Heat106,2357, 11/8/1988,1988,Imperial,City of Parlier,L,,,,,,,,,,,,,,1,,,,Looked on OneDrive; can't find,,,,,,,,
Heat107,433, 11/8/1988,1988,Inyo,Inyo County Community Service District (STARLITE),C,General,Special District,1,1,,,2,1,1,1,1,,,,,1,"From ""INYO"" to ""Inyo""","""Full Text"" looks like just part of the full Ordinance",1988-Inyo-Starlite-C-All,,,,,,,
Heat109,2367, 11/8/1988,1988,Kern ,City of Ridgecrest,H,,,,,,,,,,,,,,,,1,"From ""KERN"" to ""Kern""",,,,,,,,,
Heat108,2366, 11/8/1988,1988,Kern ,City of Ridgecrest,G,,,,,,,,,,,,,,,,1,"""KERN"" to ""Kern""",,,,,,,,,
Heat110,481, 11/8/1988,1988,Lake,City of Clearlake,B,General,City,1,1,,,1,1,1,1,1,,,,,,,,1988-Lake-Clearlake-B-All,,,,,,,
Heat111,2393, 11/8/1988,1988,Lake,Lake County Community Services District (Hidden Valley Lake),C,General,Special District,1,,,2,1,,,,,,,,1,,"""CSDHiddenValleyLake-C-All"" to ""HiddenValleyLakeCSD-C-BallotQ&Ord""",First half of Ordinance appears to be resolution ,1988-Lake-HiddenValleyLakeCSD-C-BallotQ&Ord,,,,,,,
Heat117,516, 11/8/1988,1988,Los Angeles,City of Azusa,K,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat116,515, 11/8/1988,1988,Los Angeles,City of Azusa,G,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat115,514, 11/8/1988,1988,Los Angeles,City of Azusa,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat114,513, 11/8/1988,1988,Los Angeles,City of Azusa,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat113,512, 11/8/1988,1988,Los Angeles,City of Azusa,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat112,511, 11/8/1988,1988,Los Angeles,City of Azusa,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat118,2428, 11/8/1988,1988,Los Angeles,City of Beverly Hills,T,General,City,1,1,,,,1,5,5,5,,,,,,,,1988-LosAngeles-BeverlyHills-T-SampleBallot,,,,,,,
Heat119,555, 11/8/1988,1988,Los Angeles,City of Hawthorne,V,General,City,1,,,1,1,1,1,5,5,,,,1,,"From ""SampleBallot"" to ""BallotQ&Args""; ""OrdText"" to ""Res&Ord"" ","No Impartial in ""SampleBallot""",1988-LosAngeles-Hawthorne-V-BallotQ&Args; 1988-LosAngeles-Hawthorne-V-Res&Ord,,,,,,,
Heat120,563, 11/8/1988,1988,Los Angeles,City of Hermosa Beach,W,General,City,1,1,,,1,1,1,1,5,,,,,,,,1988-LosAngeles-HermosaBeach-W-All,,,,,,,
Heat121,602, 11/8/1988,1988,Los Angeles,City of Los Angeles,N,General,City,1,1,,,1,1,5,5,5,,,,,,,"Impartial under ""The Proposal""",1988-LosAngeles-LosAngeles-N-All,,,,,,,
Heat122,611, 11/8/1988,1988,Los Angeles,City of Lynwood,EE,General,City,1,1,,,1,1,5,5,5,,,,,,,,1988-LosAngeles-Lynwood-EE-All,,,,,,,
Heat123,666, 11/8/1988,1988,Los Angeles,City of South Gate,NN,General,City,1,1,,1,1,1,1,1,1,,,,1,,"Changed sep. documents ""Resolution"" to ""Res"" and ""OrdText"" to ""Ord""",Ord is 16 pages long,1988-LosAngeles-SouthGate-NN-SampleBallot; 1988-LosAngeles-SouthGate-NN-Res; 1988-LosAngeles-SouthGate-NN-Ord,,,,,,,
Heat124,679, 11/8/1988,1988,Los Angeles,Green Valley County Water District,U,General,Special District,1,1,,1,2,5,5,5,5,,,,1,,"From ""GreenValleyWaterDistOrdText"" to ""GreenValleyCoWaterDist-U-Res&Ord""",Ordinance language is Section 5 of Resolution (also in Sample Ballot),1988-LosAngeles-GreenValleyCoWaterDist-U-SampleBallot; 1988-LosAngeles-GreenValleyCoWaterDist-U-Res&Ord,,,,,,,
Heat125,2468, 11/8/1988,1988,Los Angeles,Santa Monica-Malibu Unified School District,TT,General,School District,1,1,,,,1,5,5,5,,,,,,,,1988-LosAngeles-SantaMonicaMalibuUSD-TT-SampleBallot,,,,,,,
Heat126,730, 11/8/1988,1988,Madera,Madera County,A,General,County,1,1,,1,,1,5,5,5,,,,1,,"SB file deleted second ""Madera"" for county measure",,1988-Madera-A-SampleBallot; 1988-Madera-A-Res,,,,,,,
Heat127,2482, 4/12/1988,1988,Marin,Bolinas-Stinson Union School District,?,Special,School District,1,,,1,,,,,,,,,1,,"From ""Resolution"" to ""Res""; ""USD"" to ""Union School District""",Ballot Q on page 4 of resolution doc; ,1988-Marin-BolinasStinsonUnionSD-Res,,,,,,,
Heat128,610, 11/8/1988,1988,Marin,City of Fairfax,C,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat129,2488, 11/8/1988,1988,Marin,City of Larkspur,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat130,2507, 4/12/1988,1988,Marin,Larkspur Elementary School District,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat131,2509, 11/8/1988,1988,Marin,Marin County,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat132,2550, 11/8/1988,1988,Marin,Shoreline Unified School District,D,,,,,,,,,,,,,,1,,,,,,,,,,,,
Heat133,2581, 11/8/1988,1988,Mariposa,Mariposa County,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat134,2621, 11/8/1988,1988,Merced,City of Atwater,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat135,886, 11/8/1988,1988,Merced,City of Los Banos,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat136,2635, 11/8/1988,1988,Modoc,Modoc County CFD No.1,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat137,2648, 11/8/1988,1988,Mono,Mono County,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat138,920, 11/8/1988,1988,Monterey,City of Monterey,B,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat139,2693, 11/8/1988,1988,Napa,City of Napa,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat140,2723, 11/8/1988,1988,Orange,City of Orange,L,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat141,2727, 11/8/1988,1988,Orange,Orange County CFD No. 88-3,AA,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat142,2732, 11/8/1988,1988,Orange,Silverado-Moojeska Park and Recreation District,BB,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat144,1045, 11/8/1988,1988,Placer,City of Lincoln,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat143,1044, 11/8/1988,1988,Placer,City of Lincoln,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat145,1082, 11/8/1988,1988,Placer,Placer County Transportation Authority,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat146,2752, 11/8/1988,1988,Plumas,Seneca Hospital District,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat147,1100, 11/8/1988,1988,Riverside,City of Beaumont,S,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat148,2764, 11/8/1988,1988,Riverside,City of Hemet,H,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat149,2765, 11/8/1988,1988,Riverside,City of Indio,I,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat150,1123, 11/8/1988,1988,Riverside,City of La Quinta,K,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat151,1148, 11/8/1988,1988,Riverside,City of Palm Desert,R,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat153,2768, 11/8/1988,1988,Riverside,City of Palm Springs,M,,,,,,,,,,,,,,,,,,,,,,,,,,
